ID,Title,Permalink,spot_editor,spot_table_spot_table1,spot_table_spot_table2,spot_table_spot_table3,spot_table_spot_table4,spot_table_spot_table5,spot_table_spot_table6,spot_table_spot_table7,spot_table_spot_table8,カテゴリー
1178,御宿　八遇來,https://yufuin.gr.jp/spot/spot-1178/,客室に露天風呂があり純和風な旅館です。,大分県由布市湯布院町川上1270-81,0977-85-5110,https://onjukuyagura.com/,,"チェックイン　　15:00～18:30
チェックアウト　10：00まで",基本的に年中無休,あり,,"客室タイプ>和室,客室タイプ>和洋室,お風呂の種類>露天風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>喫煙ルームあり"
1179,由布院駅,https://yufuin.gr.jp/spot/spot-1179/,"由布院駅は、福岡県の久留米駅から大分県の大分駅を結ぶ久大本線にあり、由布院温泉の玄関口として多くのお客さまにご利用頂いています。
現在の由布院駅の駅舎は、1990年12月15日に建築家　故磯崎新氏の設計による建物全体が黒で統一された木造の駅舎として生まれ変わりました。
駅舎に入ると高さ12ⅿの吹き抜けとなっており、ホームまで抜けることが出来る創りとなっています。
また、駅舎内には、待合室機能とアートの展示機能を併せ持つアートホールも併設しています。",大分県由布市湯布院町川北8-2,,,,"みどりの窓口でのきっぷの販売時間　7:00～19:00
ホーム足湯のご利用可能時間　　　　9:00～17:00",年中無休,なし,ホーム足湯をご利用の際は、大人300円、小人100円が必要です。,交通機関>電車
1180,由布院　山ぼうし,https://yufuin.gr.jp/spot/spot-1180/,"JR由布院駅から400ｍ徒歩約6分、白滝川の川沿いに佇む由布院山ぼうしは、湯の坪街道入口が目の前にあり散策するのには抜群の立地です。
瓦屋根を配し、和の佇まいを大切にした館内は、和室、洋室（ツイン・ダブル）があり、お部屋はすべて由布岳に面しています。
プライバシーを尊重し、スタッフがお部屋に入ることは控えています。
そのため、和室の場合は寝具はリネン交換後折りたたんだ状態でセットさせていただいております。
気がねなくホテル感覚でお過ごしいただけます。

また、夕食のないB ＆B（朝食付きまたは素泊まり）スタイルの宿です。
朝食は和定食をダイニングにてご用意させていただきます。夕食は近隣の食事処をご利用ください。

温泉は自家源泉で泉質は単純泉。メタケイ酸の含有比率が高いのが特徴で、お肌に優しい温泉です。
温泉棟には、男女別の内湯と露天風呂そして貸切り湯があります。全てかけ流しのお風呂となっています。
露天風呂からは由布岳が望めます。

春、みずみずしい緑が芽吹き、新緑のころ白い可憐な花が清楚に開きます。
秋の紅葉、枯木立の冬、四季折々和やかな表情を見せる山法師の木々。この木を見ているとなぜか心が和んでまいります。

わたくしたちはお客様の心を和ませるそんな宿を目指しています。",大分県由布市湯布院町川上3045-5,0977-84-2108,https://www.yamabo.jp/,,"チェックイン　　15:00から
チェックアウト　10:00まで",不定休,あり,,"客室タイプ>ツイン,客室タイプ>ダブル,客室タイプ>和室,お風呂の種類>露天風呂,お風呂の種類>貸切風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1181,湯布院　塚原高原　山荘どんぐり,https://yufuin.gr.jp/spot/spot-1181/,"標高６００メートル、由布岳の麓にある塚原高原（つかはらこうげん）。
その大自然に囲まれた全棟独立・離れ形式のコテージ＆ヴィラ。
ファミリーやカップルに嬉しいプライベート感溢れるお部屋で自由にお過ごしいただけます。
木のぬくもりに包まれる広々としたリビングとテラス。部屋でゆっくり寛いだり、テラスでお茶を楽しんだり…。

窓を開ければ雄大な塚原高原の自然の中。
昼は豊かな緑を、夜は満点の星空を楽しめます。

それぞれのコテージには、バスルーム・トイレ・キッチン・冷蔵庫・冷暖房が完備。
無料のＷｉ－ＦｉやBluetoothスピーカーもあり、充実した設備で快適な時間を過ごせます。
食材のお持ち込みも可能なので、キッチンで地元ゆふいん産の新鮮野菜やお肉を自分好みに調理してご堪能できます。
また山荘どんぐりでは、多彩な”お食事付きプラン”もご準備。

ご夕食は、コテージの屋根付きテラスで「おおいた和牛と地鶏のBBQ（バーベキュー）」やお部屋の中でゆっくり「大分県産地鶏と高原野菜のお鍋」や「おおいた和牛のすき焼き」などなど、季節に合わせてお選びいただけます。
ご朝食は、塚原高原にある自家製ハム・ソーセージ工房が作る「特製モーニングセット」をお客様のコテージまでお届けします。
お部屋のテラスで小鳥のさえずりを聞きながら、朝食を味わうことも可能です。

ここ塚原高原、春は山桜に魅せられワラビやゼンマイが芽吹き、夏は目に眩しい草花が高原を覆い、秋はススキやハギが美しさと哀愁を、冬には辺り一面の雪化粧と胸に染み渡る空気が堪能できます。
季節折々の大自然の表情を体感できる湯布院・塚原高原、そして山荘どんぐりで旅の思い出をお作りください。",大分県由布市湯布院町塚原4-31,0977-84-3123,http://yufuin-donguri.com,,"チェックイン　15:00～18:00
チェックアウト 10:00まで",不定休,あり,,"客室タイプ>ツイン,客室タイプ>ダブル,客室タイプ>和洋室,客室タイプ>一棟貸し,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1182,由布院ステンドグラス美術館,https://yufuin.gr.jp/spot/spot-1182/,"由布岳を望むのどかな風景に建つ赤レンガが特徴の当館は、1800年代以降のヨーロッパ製のアンティークステンドグラスを展示した日本で初めての本格的なステンドグラス美術館です。

美しいステンドグラス・ウィンドウを取り入れ、自然光で作品をご覧いただく「聖ロバート教会」と、英国の私邸の佇まいで照明を通して作品をご覧いただく「ニールズ・ハウス」の二棟で構成されています。

「聖ロバート教会」では自然光でステンドグラス作品をご覧いただくため、その日のお天気や時間帯により作品の印象ががらりと変わります。
「ニールズ・ハウス」ではそれぞれの展示室でヨーロッパのステンドグラスを歴史的に地域別にご紹介しています。
作品のテーマや色合いに合わせて展示室ごとに異なる内装が施されており、ステンドグラス作品と併せて各展示室の雰囲気の違いもお楽しみいただけます。

また、外観の建材や家具調度品に至るまで厳選された英国直輸入のアンティークで装飾されており、中には高名な作家の手による芸術品が数多く展示されています。

何百年も変わらぬ輝きを放ち続ける作品を木のぬくもりのある厳粛な教会の中で、あるいは英国の住宅そのものの雰囲気の中で、どうぞごゆっくりとご鑑賞ください。

そして、ミュージアムショップでは国内工房の作家によるステンドグラス製品をはじめハンドメイド作品を取り揃えております。ひとつずつ趣のあるハンドメイド作品との旅先での一期一会をぜひお楽しみください。",大分県由布市湯布院町川上2461-3,0977-84-5575,http://www.yufuin-sg-museum.jp,,9:00-17:00 (入館は16:30まで),なし,あり,"入館料　大人 1,000円　小人 500円",観る>美術館・博物館
1183,ゆふいんラヂオ局,https://yufuin.gr.jp/spot/spot-1183/,"2012年6月11日に開局したコミュニティFMで、美術館の中に放送局があります。

ゆふいんラヂオ局には、局のスタンスを表現する2つのキャッチコピーがあります。
「ラヂオに恋するラヂオ局Passion for Radio」と「音は風にのって…」。
この2つのフレーズを織り交ぜながら、音楽と情報の伝え人であるサウンドコンシェルジュは番組を進めています。
ラヂオ好きなサウンドコンシェルジュの“トーク”と“ミュージック”でお楽しみください。

由布市内はFM87.4MHz、無料アプリ「Radimoレディモ」では全国どこからでもお聴き頂けます。
また、レディモからは番組表、ゲストやプレゼントなどの情報をSNSで確認でき、メッセージも送れます。

さらに、由布市との防災協定により由布市が全戸に防災ラジオを配布。
災害情報など臨時にゆふいんラヂオ局の放送に割り込んで由布市からのお知らせも入る体制となっています。

2024年10月からは、ゆふいんラヂオ局は地域発のコミュニティ放送局であるとともに、文化芸術や法人・個人の想いを伝える音声コンテンツ
そして音楽イベントなどを幅広く手掛ける”音の総合芸術プロダクション”を目指していきます。
「音の持つ想像力」=「音の持つ創造力」と捉える事は、より一層存在意義（パーパス）を高めます。
地域そして社会に貢献する”音”を紡いでいく総合芸術プロダクションとしての「ゆふいんラヂオ局」。
どうぞご期待ください。",大分県由布市湯布院町川上1272番地175　アルテジオ美術館内,0977-85-3001,http://874.fm/,https://www.instagram.com/yufuin_radio_station/reels/,9:00-17:00,"土曜日, 日曜日",あり,,その他施設
1184,湯布院 千家,https://yufuin.gr.jp/spot/spot-1184/,"由布院駅から徒歩10分、車で3分の湯布院屈指の絶景の場所にある由布岳一望のカフェ 湯布院千家。
駐車場付きで朝8：30から17：00まで開いています。

モーニングはフレンチトースト、ランチはとり天プレート、カフェタイムはプリンやバスクチーズケーキが人気です。
テラス席のみワンコ連れでもお食事ができます。

席数が多く、1人様から団体様まで対応できます。2階は座敷席になっており、小さいお子様連れにおすすめです。
お客様からのリクエストに何でも応えるリクエストラテアートがSNSで注目を集めています。",大分県由布市湯布院町川上2850-7,0977-84-5525,https://www.senke.info/,https://www.instagram.com/yufuinsenke/,8:30-17:00,木曜日・第２金曜日,あり,,"食べる>軽食・カフェ,食べる時間>モーニング,食べる時間>ランチ,食べる時間>カフェ"
1185,クラフト館蜂の巣,https://yufuin.gr.jp/spot/spot-1185/,"一歩入れば杉の香りが漂う館内。国内外のクラフト作家達が作った工芸品が揃う。
個性的なデザインの木製品は温かみがあって使い心地も良いです。

12角形のログハウスが目印",大分県由布市湯布院町川上1507-1,0977-84-5850,,,10:00-17:00,,なし,,買う>食べ物以外
1186,陶工房由布きらく舎,https://yufuin.gr.jp/spot/spot-1186/,"きらく舎は陶芸体験ができる工房です。JR由布院駅より車で6～7分ほどの距離です。
心を落ち着けて土と向かいあう事ができる静かな森の中にあります。
手びねりコース、ろくろコースがあり、ゆっくりと制作して頂けます。
どなたでも土にふれ、自由に創ることのよろこびを体験して頂けます。

料金 ￥3,000(白茶土)、￥3,500（緑土）出来上がりは作品送料別です。",大分県由布市湯布院町川上2356-3,0977-28-8485,https://www.yufuin-kirakusya.com/,,10:00-15:00,"火曜日, 冬期は休業／ホームページで告知／要予約",あり,,遊ぶ・楽しむ>体験・見学
1187,赤野の森,https://yufuin.gr.jp/spot/spot-1187/,"赤野の森は、高崎山を望む大絶景を見ながらティータイムを過ごしたり、自然観察や木工体験などのイベントに参加するなど、
様々なスタイルで自然を感じて過ごせる場所です。
ここで製造する「木草舎ーもくそうやー」の木の小物の常設展示販売コーナーもあります。",大分県由布市挾間町赤野377-6,090-5425-2012,https://akanonomori.jimdosite.com/,https://www.instagram.com/akano_no_mori/,"12:30～16:00　
自然観察会などイベントは10:00～12:00","月曜日, 木曜日, 金曜日, 土曜日",あり,ランチはご予約制,"食べる>軽食・カフェ,食べる時間>カフェ,買う>食べ物,買う>食べ物以外,観る>自然・歴史,遊ぶ・楽しむ>体験・見学"
1188,箸屋一膳本店,https://yufuin.gr.jp/spot/spot-1188/,"整備や間伐など様々な事情で木が切り倒されてしまうことが身の回りでもありませんか？
箸屋一膳では、そのような木を無駄にすることなく、一膳ずつお箸へ生まれ変わらせています。。
丸太から板状にして、しっかり乾燥させてお箸にしていきます。
そこまでに4年以上という長い年月を必要としますが、それぞれの木が持つ特徴や自然な色合いは、食卓を優しく彩ります。
毎日使うものだからこそ、丁寧に切り出された木から作られたお箸で食事を楽しみませんか？

また、お箸作り体験も毎日実施しています。素材は湯布院産桜の木限定ですが、自らの手で好みの一膳を作ることができます。
世界に一つだけのあなただけのお箸。ぜひ作ってみてください。",大分県由布市湯布院町川上2093-2,0977-84-4108,https://848ichizen.com/,https://www.instagram.com/hashiya_ichizen/,9:00-17:00,無休,あり,,"買う>食べ物以外,遊ぶ・楽しむ>体験・見学,遊ぶ・楽しむ>その他（遊ぶ・楽しむ）"
1189,箸屋一膳　金鱗湖店,https://yufuin.gr.jp/spot/spot-1189/,"地域の木を使用してお箸を作っている箸屋一膳の2号店。
こちらでは、箸屋一膳の工房で作られたお箸の販売を行っています。

湯布院地域で切り取られてしまったお箸だけではなく、大分県内の酒造会社で使用されていたオーク樽から作られた
お箸や希少材の黒檀などのお箸も販売していて、箸の専門店としても楽しめます。
ほかにも木のスプーンやフォーク、箸置きなども販売しているので、ご結婚のお祝いや出産、退職祝い用のプレゼントも
見つけることができます。",大分県由布市湯布院町川上1556-1-2,,https://848ichizen.com/,https://www.instagram.com/hashiya_ichizen/,10:00-17:00,なし,なし,,買う>食べ物以外
1190,由布院玉の湯,https://yufuin.gr.jp/spot/spot-1190/,"昭和28年、禅寺の保養所としてスタートした由布院玉の湯は、雑木林の中に小さな木の家が点在しております。
やわらかな木もれ日、風に揺れる野の花、由布院の休日をのんびりお過ごしください。",大分県由布市湯布院町川上2731-1,0977-84-2158,https://tamanoyu.co.jp/,,"チェックイン　　14:00
チェックアウト　12:00",,あり,,"客室タイプ>和室,客室タイプ>和洋室,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1191,今泉堂,https://yufuin.gr.jp/spot/spot-1191/,"お店は、由布院を代表する観光スポットの一つでもある金鱗湖（きんりんこ）の近くにあります。
1989年に開業し、自社製造にこだわっています。
主力商品の「黒糖揚げまんじゅう」をはじめ「どら焼き」、輪葉葉工房　さんとのコラボ商品「輪葉葉招き猫もなか」、「ショコラどら焼き」があります。
黒糖揚げまんじゅうは、米油で揚げたカリッとした食感です。
黒糖を練りこんだ生地に甘さ控えめのつぶ餡とさわやかな風味かぼすゆず味の白餡と2種類あります。
お土産やご自宅用と大変ご好評です。

どら焼きは、しっとりとした生地に甘さ控えめのつぶあんを詰めています。
ベーシックなつぶあんとあんバターの2種類があります。
また、洋風なショコラどら焼きもあります。
ココアパウダーを練りこんだ黒っぽい生地に、チョコ・ストロベリー・抹茶、バナナ、オレンジのクリームをはさんだ5種類の味があります。

全国でも有名な輪葉葉工房さんが作られる招き猫をかたどった招き猫の形をした可愛らしいもなかもあります。
箱も可愛い招き猫のイラスト入りなので、お土産やお祝いなどの贈答品にも喜ばれています。

その他に、モンブランソフト・白玉あずき・黒蜜ソフト・あんみつ・抹茶スムージー・揚げ餅・コーヒーなどあります。
店の奥にはイートインスペースもありますので、散策の一休みにいかがでしょうか。",大分県由布市湯布院町川上1608-1,0977-84-4719,,https://www.instagram.com/yufuin_imaizumido/,9:30-17:00,不定休,なし,,"食べる>その他（食べる）,食べる時間>カフェ,買う>食べ物"
1192,カフェ ラ リューシュ,https://yufuin.gr.jp/spot/spot-1192/,"当店は金鱗湖の畔にあり、四季で変化する金鱗湖、また秋から冬の早朝になりますと、朝霧に包まれた幻想的な金鱗湖が目の前でご覧いただけます。
そんな金鱗湖を見ながら、自家焙煎のコーヒーと焼き立てのパンをお楽しみください。",大分県由布市湯布院町川上1592-1,0977-28-8500,https://cafelaruche.jp,,9:00-16:30,水曜日・ウエディング等臨時休業有,あり,,"食べる>軽食・カフェ,食べる>パン,食べる時間>モーニング,食べる時間>ランチ,買う>食べ物,買う>食べ物以外,観る>その他（観る）"
1193,塚原高原観光案内所,https://yufuin.gr.jp/spot/spot-1193/,"標高６００メートル、由布岳の北側塚原高原は、青く澄んだ自然のカンバスに訪れた季節の色と香りが溢れています。
さわやかな風薫る春、深緑の眩しい夏、秋はススキが夕日にきらめき、冬には真っ白な雪が一面に広がります。
爽快感あふれる空気と開放感にみたされる景色に癒されながらゆったりとした時に身を任せてみませんか。
きっと、あなたの心を魅了する空間がそこに広がるはずです。
レンタサイクルやモルックのレンタルも行っています。",大分県由布市湯布院町塚原4-31,0977-85-2254,https://yufuin-tsukahara.com/,https://www.instagram.com/tsukahara_plateau/,10:00-17:00,"火曜日, 水曜日",あり,,その他施設
1194,岩下コレクション,https://yufuin.gr.jp/spot/spot-1194/,"岩下コレクションは、➀世界のモーターサイクル歴史展 ➁昭和レトロ展 ③英国ステンドグラス＆アンティーク展 ④高倉健と世界のレジェンド展の主要展示に加えて約100分野の付帯展示で構成された複合博物館です。

～先人の夢や挑戦の歴史を後世に伝えるために～過去・現在・未来をつなげ「未来は歴史に学べ」を理念に人類が連綿と築いてきた東西文化と歴史の十字路の再現をコンセプトにオーナー自らが50年かけて約70万点、総重量1000トンに及ぶ世界の歴史遺産を収集してきました。

1Fホールには、ダイアナ妃の生家スペンサー家のステンドグラスをはじめ、イギリス製バーカウンターや家具、オルゴールなどヨーロッパの伝統文化を比較展示で紹介し、1F展示室の昭和レトロ展は、江戸・明治・大正に始まり、昭和の街並みを再現した駄菓子屋・木造教室・町工場・電化製品店他20ブースに加え、ジャンル別にブリキのおもちゃ・カメラ・時計・ホーロー・企業グッズ他、一歩足を踏み入れれば懐かしさと温もりのある古き良き時代の昭和へタイムスリップ。

2F・3Fは国内最大級のモーターサイクルの展示コーナーとなっており、バイクの殿堂として当館が所有する600台の中から厳選された250台を展示しています。
2Fの国産車では、四大バイクメーカーをはじめ、今は無き約200メーカーとも言われ当館秘蔵の日本が世界に誇る幻の国産メーカーコレクションの中からメグロ・陸王・キャブトン・ライラック他、世界のクラシックカーの名車も展示されています。

3Fは海外の名立たる希少なビンテージバイク約100台を一同に展示。なかでも、イタリアのドゥカティ社が社運をかけて1台のみ試作したL型4気筒世界最大の「アポロ」は必見です。さらに、アラビアのロレンスで有名なブラフシューペリア・ヴィンセント・ハーレー・インディアン他、マニア垂涎の世界の名車がところ狭しと展示されています。

また、レジェンド紹介コーナーには本田宗一郎さんを始め、高倉健さん主演の映画作品資料や生誕の地中間市を背景に炭坑・鉄道・戦争の資料も同時展示し、音楽コーナーにはベンチャーズのノーキー・エドワーズさんのサイン入りエレキギターや自動ピアノ・高級オーディオ等も紹介しています。
皆さんの要望から館内は写真撮影OKです。老若男女・全世代の方が楽しく学べる総合博物館です。九州横断道路沿いの蒸気機関車D-51が目印です。",大分県由布市湯布院町川北645-6,0977-28-8900,https://iwashitacollection.jp/,https://www.instagram.com/iwashitacollection/,9:00-17:00,なし（年中無休）,あり,"入館料：大人800円　中高生：600円　小学生：300円　幼児：無料　
※団体料金：10名様以上は100円引きとなります。",観る>美術館・博物館
1195,極楽温泉,https://yufuin.gr.jp/spot/spot-1195/,"温泉の泉質はアルカリ性単純泉でPH8.9あり、ぬめりがあり、肌がすべすべになる美人の湯です。
湯布院インターから３０分、大分インターから３０分の位置にあり田園風景が広がっています。
大浴場、家族湯ともに大きめな浴槽で、心・身体を癒してください。",大分県由布市挾間町来鉢1148-1,097-583-5511,https://gokurakuonsen.jimdofree.com/,https://www.youtube.com/@%E9%81%93%E6%A1%88%E5%86%85-n2l,"12:00-20:00　
土日祝のみ10:30～20:00","月曜日, 火曜日",あり,"大浴場　大人430円　小人210円（3歳～小学生まで）
家族湯　50分　1,800円　60分　2,100円　90分　3,000円　１名追加430円　10分追加210円","アメニティ（立ち寄り湯）>あり,お風呂の種類（立ち寄り湯）>露天風呂,お風呂の種類（立ち寄り湯）>貸切風呂"
1196,Little Cheerful,https://yufuin.gr.jp/spot/spot-1196/,"アメリカ人が作る本場のピザが食べられます。生地もピザソースも手作りです。
店の名前は、みんなの明るいおしゃべりの声が響く、小さなカフェという意味でつけました。

ピザのほかに手作りのジンジャーエール、インカティーなどの飲み物やスパゲッティもあります。
ピザ生地をトスするパフォーマンスも見ることができます。

ご家族やお友達同士で、またお一人でも気軽にお立ち寄りください。",大分県由布市挾間町北方536-6GOTOビル2F,097-583-2520,,,"11時～14時30分（ラストオーダー）
17時～18時30分（ラストオーダー）","月曜日, 日曜日",あり,,"食べる>軽食・カフェ,食べる>その他（食べる）,食べる時間>ランチ,食べる時間>ディナー"
1197,一休商店,https://yufuin.gr.jp/spot/spot-1197/,"大正創業。由布院駅（創業当時は北由布駅）と共に盆地の四季を感じ、歩んでまいりました。
大分・由布院の各種土産物を取り揃えております。
由布院にお越しの折は、どうぞお立ち寄りくださいませ。　　
店主　敬白",大分県由布市湯布院町川北4-1,0977-85-2801,,,8:30-17:30,基本年中無休,なし,,"買う>食べ物,買う>食べ物以外"
1198,御宿　由布乃庄,https://yufuin.gr.jp/spot/spot-1198/,"季節ごとの自然の彩りに心和む、湯布院塚原高原の1軒宿。
入り放題の貸切温泉や大分名産豊後牛の炭火焼をメインとした創作料理の数々も好評。
誰にも邪魔されない寛ぎの時間をお過ごしくださいませ。

満点の星空が望める露天風呂など4つの温泉は全て貸切。
鉄分を多く含んだ濁り湯を贅沢にお楽しみいただけます。

旬の食材を活かしたお料理や
大分県産のブランド素材など
自然を大切にしたプライベート空間を
ご体感ください。",大分県由布市湯布院町塚原1009,0977-84-5755,http://www.yufunoshou.com/,,"チェックイン　　15:30から
チェックアウト　10:00",不定休,あり,,"客室タイプ>和室,お風呂の種類>露天風呂,お風呂の種類>貸切風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ"
1199,ゆふいん山水館,https://yufuin.gr.jp/spot/spot-1199/,"創業明治44年の老舗旅館。由布院駅から徒歩8分という好立地で、由布岳を望む「絶景露天風呂」がお楽しみいただけます。
私たちの温泉は、湯布院の自然が育てた癒しの源。四季の風景を望む露天風呂で、心も体もほぐれる時間をお過ごしいただけます。
春は新緑、夏はさわやかな風、秋は紅葉、冬は雪見風呂と、一年中自然と共に特別なひとときを。

お食事は、新鮮な食材を使用したバイキングスタイル。季節ごとに変わるメニューは、目でも楽しめる彩り豊かな一品が並びます。
また、オールインクルーシブには、飲食だけでなく、館内の施設やアクティビティも含まれています。
湯布院の自然を満喫しながら、心ゆくまでお楽しみください。

心からリラックスできるようにと、細部にまでこだわった館内と客室。伝統的な和の美しさと現代の快適さが調和した空間で、ゆったりとした時間をお過ごしください。
窓からは湯布院の絵画のような景色が広がり、日常を忘れさせてくれるはずです。

湯布院の旅の思い出とともに、職人が丹精を込めて作る湯布院ビールをお楽しみください。
より多くの方にゆふいん地ビールをご賞味、ご愛顧いただければ幸いと思っております。",大分県由布市湯布院町川南108-1,0977-84-2101,https://www.sansuikan.co.jp,,"チェックイン　15:00から
立ち寄り湯　13:00～16:00",年2回休館日あり,あり,,"客室タイプ>ツイン,客室タイプ>和室,お風呂の種類>露天風呂,ペット>ペット不可,WiFi>WiFiあり,お部屋での喫煙>禁煙ルームのみ,アメニティ（立ち寄り湯）>あり,買う>食べ物,買う>食べ物以外,お風呂の種類（立ち寄り湯）>露天風呂"
1200,ほのぼの温泉館,https://yufuin.gr.jp/spot/spot-1200/,"JR庄内駅からほど近くにある「みことピアほのぼの温泉館」は、旧庄内小学校の校舎を改装した珍しい温泉です。
国道に面しており、気軽に立ち寄ることのできる温泉です。

地元の人の憩いの場として親しまれており、夕方にもなると一仕事終えた常連客で、にぎやかな雰囲気になります。
湯は熱めの無色透明で、神経痛、筋肉痛、五十肩に効果があると言われています。

男女ともに広々した内風呂、露天風呂、予約制の貸切内風呂があり、飲食物の持ち込みが可能な休憩スペースを設けてるため、
ゆっくりと過ごすことができます。

",大分県由布市庄内町庄内原３５５番地１,097-582-2864,,,"11:00-22:00　
１０月から３月までは11:00～21:00",毎月第２水曜日,あり,市民大人（一般）　２００円、市民子供（中学生以下）　１００円、市民高齢者（７０歳以上）　１５０円、市民以外大人（一般）　３１０円、市民以外子供（中学生以下）　２００円、市民以外高齢者（７０歳以上）　２６０円、家族湯（５０分以内）　１０４０円、家族湯　追加１０分ごと　２６０円,"お風呂の種類（立ち寄り湯）>露天風呂,お風呂の種類（立ち寄り湯）>貸切風呂"
1201,茶房　風曜日,https://yufuin.gr.jp/spot/spot-1201/,"由布院にて茶房風曜日を1995年にスタートいたしました。
湯布院インターのすぐ近くにございます。
洋風スタイルで彩る明るい店内では手作りジャムを使った特製カレー、
120mにも及ぶ地下水を汲み上げたコーヒー、紅茶などが手軽に楽しめます。

これから始まる湯布院旅のプラン、また思い出を語りあう場所としてゆっくり、おくつろぎいただけます。
湯布院にお越しの際にはぜひともお立ち寄り下さい。

● 由布岳望むドッグラン
● ワンちゃん同室可の個室あり。
● 風曜日商品取り揃えています。

茶房風曜日
オシャレでゆったりとした店内で旅の話しもはずみます。
店内では風曜日でのジャム、コンポート、ジュースなどもお買い求めいただけます。
ジャムを使った特製カレーやスコーンなどが好評です。
ご希望があればジャムの試食などもできます。
また、手作りケーキとコーヒーがセットになった「ケーキセット」も旅の合間のティータイムにうってつけです。

おすすめメニュー
● 特製カレー（サラダ+1ドリンク付）　1100円（税込）
● お好きなジャムと組み合わせてトーストセット　880円（税込）
● ケーキセット（ケーキ+デザート+1ドリンク）　880円（税込）
● スコーンセット（スコーン2個+1ドリンク）　770円（税込）

ペットと一緒に楽しめます。
オープンカフェスタイルのテーブル席(テラス席、個室)、手軽に本格派のコーヒーが楽しめます。
また、ペットと一緒に旅行されている方には開放的なドックラン施設も備えています。",大分県由布市湯布院町川北899-100,0977-85-2750,https://kazeyoubi.jp/?mode=f2,,11:00-17:00　3日前まで完全予約制,"月曜日, 火曜日, 水曜日, 木曜日, 金曜日　
3月まで完全予約制、4月からはリニューアルオープン",あり,,"食べる>軽食・カフェ,食べる時間>カフェ,買う>食べ物,遊ぶ・楽しむ>その他（遊ぶ・楽しむ）"
1202,赤司菓子舗,https://yufuin.gr.jp/spot/spot-1202/,"赤司菓子舗は、江戸時代、久留米有馬藩に武家として長く仕えていました。
明治になり赤司夢帰次は菓子職人をこころざし修行を積みました。
そして、明治24年「日田・豆田」の地に赤司菓子舗を創業しました。
昭和33年7月11日にその孫・哲夫が湯布院の現在地に赤司菓子舗を創業し、以来夢帰次独特の製法と味を伝承し続けています。",大分県由布市湯布院町川北2-2,0977-84-2575,https://akashikashiho.jp/,https://www.instagram.com/akashi_kashiho/,10:00-16:30,水曜日,なし,,"食べる>その他（食べる）,買う>食べ物"
1203,オニパンカフェ,https://yufuin.gr.jp/spot/spot-1203/,"湯布院塚原高原の豊かな自然に囲まれたパン屋＆カフェです。
私たち夫婦が旅行で立ち寄った塚原に魅せられて、ここに移り住もうという計画を立て、１０年越しで移住してきました。
人生の後半は、好きなパンを使って、私たちが感動したこの美しい塚原高原で、心と感性を癒やして明日への糧を生み出せたらとパン屋を開業。
気がつけば１６年の月日が経っていました。

美味しいが前提で、体に優しい自家製手作りを基本としたパンを作っています。すべてのパンが天然酵母で作られます。
白砂糖は使わず粗製糖、マーガリンやショートニングは使わずフレッシュバターで。国産小麦を主体にしています。
食パンはバターの代わりに太白ごま油を使用しています。深い味わいを求めて塩麹も使っています。

フィリング類も基本自家製で。カスタードクリームや餡子、カレー、ミルククリームやメロン皮、デニッシュのフルーツコンポート、自家製ベーコン等。
獣害にめげず小麦もオニパン畑で少量作っています。
自家製手作りの追求は大変でもありますが、既製の具材に味を決められることもなく、工夫次第でよりよくも出来、楽しくもあります。

詳しくはホームページをご覧ください。",大分県由布市湯布院町塚原135-142,0977-85-5214,https://onipain.com,,11:30-16:00,"火曜日, 水曜日, 木曜日",あり,通販やっています。詳しくはホームページをご覧ください。,"食べる>軽食・カフェ,食べる>パン,食べる時間>カフェ,買う>食べ物,遊ぶ・楽しむ>その他（遊ぶ・楽しむ）"
1204,由布院A BASE（ゆふいんAベース）,https://yufuin.gr.jp/spot/spot-1204/,"バス、トイレ付きRVパーク！
湯布院中心部、湯の坪街道まで徒歩５分
女性でも安心して宿泊できる鍵付き入浴施設あり。セキュリティー対策完備。Wi-Fiあり！

予約は　0977-84-2575まで",大分県由布市湯布院町川上2966-14,0977-84-2300,https://www.yufuin-a-base.com/,https://www.instagram.com/yufuin_a_base/,,なし,あり,,"客室タイプ>キャンプ・グランピング,ペット>ペット可,WiFi>WiFiあり,遊ぶ・楽しむ>その他（遊ぶ・楽しむ）,その他施設"
1205,由布まぶし　心　金鱗湖本店,https://yufuin.gr.jp/spot/spot-1205/,"由布まぶし心は、由布院産のお米を土鍋で炊きあげております。
炊き上がりまでの時間は、前菜をお楽しみ下さい。
大分県産豊後牛.大分県産ハーブ鷄と豊のしゃも.鰻を盛り特製のタレをかけ仕上げます。

一杯目は、そのままお召し上がり頂きます。
二杯目は、薬味.お漬物をお好みで一緒に食べて頂きます。
三杯目は、お出汁を土鍋に注ぎ出汁茶漬けでお召し上がり頂きます。

湯布院に来て地元の食材を食べて頂きたくてはじめました。",大分県由布市湯布院町川上1492-1,0977-85-7880,,,10:30-18:30,不定休,なし,,"食べる>和食,食べる時間>ランチ,食べる時間>ディナー"
